id,published_at,name,url,alternate_url,professional_roles,salary.from,salary.to,salary.currency,salary.gross,address.lat,address.lng,address.raw,address.metro.station_name,address.metro.line_name,employer.name,employer.accredited_it_employer,schedule.name,experience.name,department.name,job_type,intern,junior,middle,senior,lead,net_salary_from_rur,net_salary_to_rur,salary_info,date_published
88582756,2023-10-24T13:12:02+0300,Middle Data science,https://api.hh.ru/vacancies/88582756?host=hh.ru,https://hh.ru/vacancy/88582756,"[{'id': '10', 'name': 'Аналитик'}]",,,,,,,,,,СБЕР,False,Полный день,От 1 года до 3 лет,Сбер для экспертов,MLE or DS,0,0,1,0,0,,,0,2023-10-24
86879304,2023-10-13T09:28:38+0300,Data scientist (команда Collection),https://api.hh.ru/vacancies/86879304?host=hh.ru,https://hh.ru/vacancy/86879304,"[{'id': '165', 'name': 'Дата-сайентист'}]",,,,,55.747809,37.531963,"Москва, Московское центральное кольцо, станция Деловой центр",Выставочная,Филевская,Банк ВТБ (ПАО),False,Полный день,От 3 до 6 лет,"ПАО ВТБ, Технологический блок",DS,0,0,1,1,0,,,0,2023-10-13
83816998,2023-10-25T11:25:54+0300,Data Scientist,https://api.hh.ru/vacancies/83816998?host=hh.ru,https://hh.ru/vacancy/83816998,"[{'id': '165', 'name': 'Дата-сайентист'}]",,,,,,,,,,Finstar Financial Group,False,Полный день,От 1 года до 3 лет,,DS,0,1,1,0,0,,,0,2023-10-25
87636026,2023-10-03T07:54:58+0300,Data Scientist,https://api.hh.ru/vacancies/87636026?host=hh.ru,https://hh.ru/vacancy/87636026,"[{'id': '10', 'name': 'Аналитик'}]",,,,,55.752587,37.548088,"Москва, Краснопресненская набережная, 14с1",Выставочная,Филевская,Совкомбанк,False,Полный день,От 3 до 6 лет,,DS,0,0,1,1,0,,,0,2023-10-03
84439644,2023-10-01T15:38:33+0300,ML Engineer / Data Scientist в команду автоматизации ML-процессов,https://api.hh.ru/vacancies/84439644?host=hh.ru,https://hh.ru/vacancy/84439644,"[{'id': '165', 'name': 'Дата-сайентист'}]",,,,,,,,,,VK,False,Полный день,От 1 года до 3 лет,"VK, ВКонтакте",MLE or DS,0,1,1,0,0,,,0,2023-10-01
88397062,2023-10-19T13:12:27+0300,MlOps инженер,https://api.hh.ru/vacancies/88397062?host=hh.ru,https://hh.ru/vacancy/88397062,"[{'id': '160', 'name': 'DevOps-инженер'}]",,,,,,,,,,ЛОКО-БАНК,False,Удаленная работа,От 1 года до 3 лет,,MLE,0,1,1,0,0,,,0,2023-10-19
82540806,2023-10-27T17:17:59+0300,Data Scientist,https://api.hh.ru/vacancies/82540806?host=hh.ru,https://hh.ru/vacancy/82540806,"[{'id': '10', 'name': 'Аналитик'}]",,,,,55.721133,37.611536,"Москва, улица Шаболовка, 31Г",,,Ниармедик Ваш Доктор Рядом,False,Полный день,От 1 года до 3 лет,,DS,0,1,1,0,0,,,0,2023-10-27
87999564,2023-10-28T17:15:40+0300,Data engineer / Data Scientist / Data Analyst,https://api.hh.ru/vacancies/87999564?host=hh.ru,https://hh.ru/vacancy/87999564,"[{'id': '165', 'name': 'Дата-сайентист'}]",,,,,,,,,,СтандартПроект,False,Полный день,От 1 года до 3 лет,,DS,0,1,1,0,0,,,0,2023-10-28
88605240,2023-10-24T20:17:46+0300,Бизнес-аналитик ML (ДАДМ),https://api.hh.ru/vacancies/88605240?host=hh.ru,https://hh.ru/vacancy/88605240,"[{'id': '150', 'name': 'Бизнес-аналитик'}]",,,,,,,,,,"Иннотех, Группа компаний",False,Удаленная работа,От 1 года до 3 лет,,MLE or DS,0,1,1,0,0,,,0,2023-10-24
88201508,2023-10-16T09:45:55+0300,"Middle/Senior MLOps, команда инфраструктуры ML",https://api.hh.ru/vacancies/88201508?host=hh.ru,https://hh.ru/vacancy/88201508,"[{'id': '96', 'name': 'Программист, разработчик'}]",,,,,,,,,,WILDBERRIES,False,Полный день,От 3 до 6 лет,,MLE,0,0,1,1,0,,,0,2023-10-16
